"ID","m/z","Yellow_10_5x_2_420_1600_isotopomeric_score_annotated_1233-211210.csv","Yellow_16_5x_420_1600_isotopomeric_score_annotated_1418-211210.csv","Yellow_17_5x_420_1600_isotopomeric_score_annotated_1604-211210.csv","Yellow_18_5x_420_1600_isotopomeric_score_annotated_1743-211210.csv","Yellow_19_5x_420_1600_isotopomeric_score_annotated_1912-211210.csv","Yellow_1_5x_420-1600_isotopomeric_score_annotated_2006-211210.csv","Yellow_20_5x_420_1600_isotopomeric_score_annotated_2157-211210.csv","PubChem","LM_ID","CAS_inf","MetSign_ID","hm_ID","Name_ID","Keg_ID","label_information"
11,429.2487,27950.2964,13301.4685,14616.1502,13833.0015,17066.5218,11780.7752,11312.3885,12197,"Unknown","58775-98-7","C23H32N4O4-[M+H+]-{m+0}(0.99121)(Niso-2)","Unknown","NummularineF","C10011","N"
12,430.2377,2883.5481,0,0,0,1048.2299,0,0,"9026;Unknown;Unknown;6439312","Unknown;LMFA08020004;LMFA08020078;Unknown","2751-68-0;Unknown;Unknown;169523-06-2","C23H29N3O2S1-[M+NH4+]-2H-1-{m+0}(0.99802)(Niso-2);C23H37N1O4-[M+K+]-{m+0}(0.98803)(Niso-3);C20H41N1O4S1-[M+K+]-{m+0}(0.97921)(Niso-1);C23H37N1O3S1-[M+Na+]-{m+0}(0.97242)(Niso-1)","Unknown;Unknown;Unknown;HMDB11678","Acetophenazine*;*N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-D-serine*;*N-octadecanoyl-taurine*;*Geranylgeranylcysteine","C06807;Unknown;Unknown;Unknown","2H_1"
13,430.243,7157.2079,0,4068.1766,0,0,0,0,"Unknown","LMGP02010104","Unknown","C17H34N1O8P1-[M+NH4+]-2H-1-{m+0}(-0.13693)(Niso-2)","Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine","Unknown","2H_1"
14,430.245,337717.5436,120359.7308,144459.8963,115634.4372,180026.3604,105206.8465,96480.7365,"Unknown;12073949;3080612,6464,Unknown;10355;9672","LMGP02010104;Unknown;Unknown,Unknown,LMST04010146;Unknown;Unknown","Unknown;Unknown;5130-29-0,117-81-7,Unknown;62-90-8;138402-11-6","C17H34N1O8P1-[M+NH4+]-2H-1-{m+0}(0.98403)(Niso-2);C24H37O4-[M+K+]-2H-2-{m+0}(0.97938)(Niso-2);C24H38O4-[M+K+]-2H-1-{m+0}(0.97937)(Niso-2);C27H34O3-[M+Na+]-2H-1-{m+0}(0.96674)(Niso-2);C25H28N6O1-[M+H+]-2H-1-{m+0}(0.9665)(Niso-2)","Unknown;HMDB12866;HMDB00328,Unknown,Unknown;Unknown;Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine*;*9'-Carboxy-alpha-chromanol*;*12-Ketodeoxycholic acid*,*Bis(2-ethylhexyl)phthalate*,*3alpha-Hydroxy-6-oxo-5beta-cholan-24-oic Acid*;*Nandrolonephenpropionate*;*Irbesartan","Unknown;Unknown;Unknown,C03690,Unknown;C08155;C07469","2H_1"
15,430.2483,0,0,0,0,0,0,0,"9672;10355;3080612,6464,Unknown","Unknown;Unknown;Unknown,Unknown,LMST04010146","138402-11-6;62-90-8;5130-29-0,117-81-7,Unknown","C25H28N6O1-[M+H+]-2H-1-{m+0}(0.99928)(Niso-2);C27H34O3-[M+Na+]-2H-1-{m+0}(0.99923)(Niso-2);C24H38O4-[M+K+]-2H-1-{m+0}(0.99507)(Niso-2)","Unknown;Unknown;HMDB00328,Unknown,Unknown","Irbesartan*;*Nandrolonephenpropionate*;*12-Ketodeoxycholic acid*,*Bis(2-ethylhexyl)phthalate*,*3alpha-Hydroxy-6-oxo-5beta-cholan-24-oic Acid","C07469;C08155;Unknown,C03690,Unknown","2H_1"
16,431.1667,0,0,0,0,0,0,0,"11770;Unknown","Unknown;LMST03020008","57576-33-7;Unknown","C21H28O8-[M+Na+]-{m+0}(0.97658)(Niso-1);C22H32O4S1-[M+K+]-{m+0}(0.97578)(Niso-1)","Unknown;Unknown","Vernoflexuoside*;*(7E)-(3S,6RS)-3-hydroxy-6,19-epithio-23,24-dinor-9,10-seco-5(10),7-choladien-22-al S,S-dioxide","C09579;Unknown","N"
17,431.2375,0,0,0,0,0,0,0,"Unknown;Unknown","LMSP02050000;LMST01120007","Unknown;Unknown","C19H37N1O6P1-[M+Na+]-2H-2-{m+0}(0.99953)(Niso-2);C23H34O6-[M+Na+]-2H-2-{m+0}(0.99934)(Niso-2)","Unknown;Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,5,12beta,14-tetrahydroxy-5beta-card-20(22)-enolide","C02960;Unknown","2H_2"
18,431.2398,31090.4744,13502.3028,13152.4298,11730.6492,17996.3527,10087.0699,10761.5327,"Unknown;Unknown;Unknown,11255","LMSP02050000;LMST01120007;LMFA03010201,Unknown","Unknown;Unknown;Unknown,23984-18-1","C19H37N1O6P1-[M+Na+]-2H-2-{m+0}(0.99952)(Niso-2);C23H34O6-[M+Na+]-2H-2-{m+0}(0.99925)(Niso-2);C23H36O6-[M+Na+]-{m+0}(0.99924)(Niso-2)","Unknown;Unknown;Unknown,Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,5,12beta,14-tetrahydroxy-5beta-card-20(22)-enolide*;*methyl 9-oxo-11R-hydroxy-15R-acetoxy-5Z,13E-prostadienoate*,*AsebotoxinII","C02960;Unknown;Unknown,C09063","2H_2"
19,431.2461,1632.5343,0,0,0,705.6386,0,0,"Unknown;6439312;9026","LMFA08020078;Unknown;Unknown","Unknown;169523-06-2;2751-68-0","C20H41N1O4S1-[M+K+]-2H-1-{m+0}(0.98174)(Niso-1);C23H37N1O3S1-[M+Na+]-2H-1-{m+0}(0.97245)(Niso-1);C23H29N3O2S1-[M+NH4+]-2H-2-{m+0}(0.96995)(Niso-1)","Unknown;HMDB11678;Unknown","N-octadecanoyl-taurine*;*Geranylgeranylcysteine*;*Acetophenazine","Unknown;Unknown;C06807","2H_1"
20,431.2484,9357.7206,3711.7979,4526.9671,3921.3353,5540.1923,0,3637.2147,"Unknown","LMGP02010105","Unknown","C17H34N1O8P1-[M+NH4+]-2H-2-{m+0}(0.98331)(Niso-1)","Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine","Unknown","2H_2"
21,432.2431,3972.2912,0,955.1194,967.9798,1650.7583,724.9278,719.6996,"Unknown;Unknown;14180","LMSP02050000;LMST01120002;Unknown","Unknown;Unknown;52340-48-413129-81-2","C19H37N1O6P1-[M+Na+]-2H-3-{m+0}(0.97985)(Niso-1);C23H34O6-[M+Na+]-2H-3-{m+0}(0.97153)(Niso-1);C25H35N3O1-[M+K+]-{m+0}(0.96272)(Niso-1)","Unknown;Unknown;Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,12beta,14,16beta-tetrahydroxy-5beta-card-20(22)-enolide*;*Undecylprodigiosin","C02960;Unknown;C12023","2H_3"
22,433.294,0,0,0,0,0,0,0,"Unknown","LMST03020039","Unknown","C26H40O5-[M+H+]-{m+0}(0.96317)(Niso-1)","Unknown","(5Z,7E)-(1S,3R)-1,3,25-trihydroxy-22-oxa-9,10-seco-5,7,10(19)-cholestatrien-24-one","Unknown","N"
23,435.2525,0,0,0,0,0,0,0,"Unknown,Unknown;Unknown,DBLINKS6413","LMFA03010076,LMST04060001;Unknown,Unknown","Unknown,Unknown;Unknown,Unknown","C23H40O5-[M+K+]-{m+0}(0.98982)(Niso-2);C21H39O7P1-[M+H+]-{m+0}(0.97621)(Niso-1)","Unknown,Unknown;HMDB07852,Unknown","isopropyl 9S,11R,15S-trihydroxy-5Z,13E-prostadienoate*,*24-Nor-5beta-cholane-3alpha,7alpha,12alpha,22,23-pentol*;*LPA(0:0/18:2(9Z,12Z))*,*Oleoylglyceronephosphate","Unknown,Unknown;C00416,C03630","N"
24,436.2557,0,0,0,0,0,0,0,"Unknown,Unknown;Unknown,DBLINKS6413","LMFA03010076,LMST04060001;Unknown,Unknown","Unknown,Unknown;Unknown,Unknown","C23H40O5-[M+K+]-2H-1-{m+0}(0.97674)(Niso-1);C21H39O7P1-[M+H+]-2H-1-{m+0}(0.97621)(Niso-1)","Unknown,Unknown;HMDB07852,Unknown","isopropyl 9S,11R,15S-trihydroxy-5Z,13E-prostadienoate*,*24-Nor-5beta-cholane-3alpha,7alpha,12alpha,22,23-pentol*;*LPA(0:0/18:2(9Z,12Z))*,*Oleoylglyceronephosphate","Unknown,Unknown;C00416,C03630","2H_1"
25,437.1848,4384.1688,3483.2995,2835.3193,3415.0308,1855.3755,1104.0305,2044.7559,"DBLINKS5644;Unknown","Unknown;Unknown","Unknown;111555-53-4","C23H30N2O4-[M+K+]-{m+0}(0.9696)(Niso-1);C26H26N2O3-[M+Na+]-{m+0}(0.96137)(Niso-1)","Unknown;Unknown","Desacetoxyvindoline*;*Naltrindole","C02673;C18128","N"
26,437.193,0,46433.6686,40320.2212,46730.0337,0,0,0,12841,"Unknown","86702-02-5","C24H30O6-[M+Na+]-{m+0}(0.9992)(Niso-2)","Unknown","Magnoshinin","C10658","N"
27,437.1945,2232361.023,2084370.631,1810733.982,2107350.38,1498933.389,897798.4321,1173326.054,"12841;Unknown","Unknown;LMPK12020174","86702-02-5;Unknown","C24H30O6-[M+Na+]-{m+0}(0.97055)(Niso-2);C26H28O6-[M+H+]-{m+0}(0.96366)(Niso-1)","Unknown;Unknown","Magnoshinin*;*4,6'-Epoxyorotiniflavan-4-ol","C10658;Unknown","N"
28,437.1979,0,0,0,0,0,0,0,"Unknown","LMPK12020174","Unknown","C26H28O6-[M+H+]-{m+0}(0.99112)(Niso-3)","Unknown","4,6'-Epoxyorotiniflavan-4-ol","Unknown","N"
29,437.1983,0,1260.8209,0,3342.2493,0,4821.9642,5819.1578,"Unknown","LMPK12020174","Unknown","C26H28O6-[M+H+]-{m+0}(0.98742)(Niso-3)","Unknown","4,6'-Epoxyorotiniflavan-4-ol","Unknown","N"
30,437.2023,35020.959,33321.4645,27294.4279,33593.4449,21935.5798,15955.7688,20310.5621,"DBLINKS8680;Unknown","Unknown;LMST03020008","Unknown;Unknown","C20H25N3O7-[M+NH4+]-{m+0}(0.99763)(Niso-2);C22H32O4S1-[M+K+]-2H-6-{m+0}(0.97991)(Niso-3)","Unknown;Unknown","2-N,6-N-Bis(2,3-dihydroxy-N-benzoyl)-L-serineamide*;*(7E)-(3S,6RS)-3-hydroxy-6,19-epithio-23,24-dinor-9,10-seco-5(10),7-choladien-22-al S,S-dioxide","C06447;Unknown","2H_6"
31,437.2053,0,0,0,0,0,0,0,"17395446;DBLINKS8680;DBLINKS4326","Unknown;Unknown;Unknown","78-51-3;Unknown;Unknown","C18H39O7P1-[M+K+]-{m+0}(0.98255)(Niso-1);C20H25N3O7-[M+NH4+]-{m+0}(0.9765)(Niso-1);C23H30N2O5-[M+Na+]-{m+0}(0.96972)(Niso-1)","Unknown;Unknown;Unknown","Tris(butoxyethyl)phosphate*;*2-N,6-N-Bis(2,3-dihydroxy-N-benzoyl)-L-serineamide*;*Deacetylvindoline","C14446;C06447;C01091","N"
32,438.1828,1033.5233,1162.256,0,0,0,0,0,9223,"Unknown","69-23-8","C22H26F3N3O1S1-[M+H+]-{m+0}(0.97332)(Niso-1)","Unknown","Fluphenazine","C07010","N"
33,438.1907,4617.499,4971.4764,2762.9342,4403.0197,2107.4577,0,2512.5862,"13886;DBLINKS5644;11522;Unknown,12292;Unknown","Unknown;Unknown;Unknown;LMPK12020012,Unknown;Unknown","123898-42-0;Unknown;14028-90-1;Unknown,62596-29-6;111555-53-4","C20H33N1O7-[M+K+]-{m+0}(0.97783)(Niso-1);C23H30N2O4-[M+K+]-2H-1-{m+0}(0.97543)(Niso-1);C23H29N1O6-[M+Na+]-{m+0}(0.97073)(Niso-1);C25H24O6-[M+NH4+]-{m+0}(0.96653)(Niso-1);C26H26N2O3-[M+Na+]-2H-1-{m+0}(0.9614)(Niso-1)","Unknown;Unknown;Unknown;Unknown,Unknown;Unknown","Candoxatrilat*;*Desacetoxyvindoline*;*Alpinine*;*Shanciol*,*Morusin*;*Naltrindole","C11721;C02673;C09331;Unknown,C10106;C18128","2H_1"
34,438.1926,1181.7765,1561.9953,1037.6217,0,0,0,963.0416,"DBLINKS5644;12292,Unknown;13274","Unknown;Unknown,LMPK12020012;Unknown","Unknown;62596-29-6,Unknown;41083-11-8","C23H30N2O4-[M+K+]-2H-1-{m+0}(0.97543)(Niso-1);C25H24O6-[M+NH4+]-{m+0}(0.96653)(Niso-1);C20H35N3Sn1-[M+H+]-{m+0}(-0.3164)(Niso-1)","Unknown;Unknown,Unknown;Unknown","Desacetoxyvindoline*;*Morusin*,*Shanciol*;*Azocyclotin","C02673;C10106,Unknown;C11092","2H_1"
35,438.1944,0,0,0,0,0,0,0,"Unknown;13274","Unknown;Unknown","147511-69-1;41083-11-8","C25H23F1N1O4-[M+NH4+]-{m+0}(0.99922)(Niso-2);C20H35N3Sn1-[M+H+]-{m+0}(-0.3164)(Niso-1)","Unknown;Unknown","Pitavastatin*;*Azocyclotin","C13334;C11092","N"
36,438.1961,15997.898,14172.5057,10920.7337,13587.394,9379.7202,0,9293.1785,"Unknown,DBLINKS13810;Unknown","LMPR0102070018,Unknown;Unknown","Unknown,Unknown;147511-69-1","C18H28O11-[M+NH4+]-{m+0}(0.99929)(Niso-2);C25H23F1N1O4-[M+NH4+]-{m+0}(-0.034217)(Niso-2)","Unknown,Unknown;Unknown","Lamioside*,*Lamioside*;*Pitavastatin","C11645,C11645;C13334","N"
37,438.1983,434813.5381,421720.2605,328723.3114,404386.3532,240574.1692,114780.388,210603.5174,"DBLINKS13810,Unknown;12841","Unknown,LMPR0102070018;Unknown","Unknown,Unknown;86702-02-5","C18H28O11-[M+NH4+]-{m+0}(0.98522)(Niso-2);C24H30O6-[M+Na+]-2H-1-{m+0}(0.97516)(Niso-2)","Unknown,Unknown;Unknown","Lamioside*,*Lamioside*;*Magnoshinin","C11645,C11645;C10658","2H_1"
38,438.2013,0,0,0,0,0,0,0,"12841;Unknown","Unknown;LMPK12020174","86702-02-5;Unknown","C24H30O6-[M+Na+]-2H-1-{m+0}(0.99917)(Niso-2);C26H28O6-[M+H+]-2H-1-{m+0}(0.96366)(Niso-1)","Unknown;Unknown","Magnoshinin*;*4,6'-Epoxyorotiniflavan-4-ol","C10658;Unknown","2H_1"
39,438.2035,0,0,0,0,0,0,0,"10902;Unknown","Unknown;LMPK12020174","114531-28-1;Unknown","C24H33N1O4-[M+K+]-{m+0}(0.96779)(Niso-1);C26H28O6-[M+H+]-2H-1-{m+0}(0.96366)(Niso-1)","Unknown;Unknown","SpiramineA*;*4,6'-Epoxyorotiniflavan-4-ol","C08709;Unknown","2H_1"
40,438.2061,5827.9847,5481.5324,4169.3547,5259.5614,1688.7792,0,2326.9368,"13761;10902","Unknown;Unknown","59880-97-6;114531-28-1","C21H31N3O5S1-[M+H+]-{m+0}(0.97582)(Niso-1);C24H33N1O4-[M+K+]-{m+0}(0.96779)(Niso-1)","Unknown;Unknown","FMLP*;*SpiramineA","C11596;C08709","N"
41,439.1995,0,0,0,0,0,0,0,"13340;Unknown,12292","Unknown;LMPK12020012,Unknown","123948-87-8;Unknown,62596-29-6","C23H23N3O5-[M+NH4+]-{m+0}(0.96903)(Niso-1);C25H24O6-[M+NH4+]-2H-1-{m+0}(0.96552)(Niso-1)","Unknown;Unknown,Unknown","Topotecan*;*Shanciol*,*Morusin","C11158;Unknown,C10106","2H_1"
42,439.1996,5679.3848,4758.8582,3707.5538,4591.6262,7580.6498,1424.6209,6781.9112,"13340;Unknown,12292;Unknown","Unknown;LMPK12020012,Unknown;Unknown","123948-87-8;Unknown,62596-29-6;147511-69-1","C23H23N3O5-[M+NH4+]-{m+0}(0.96903)(Niso-1);C25H24O6-[M+NH4+]-2H-1-{m+0}(0.96552)(Niso-1);C25H23F1N1O4-[M+NH4+]-2H-1-{m+0}(0.96435)(Niso-1)","Unknown;Unknown,Unknown;Unknown","Topotecan*;*Shanciol*,*Morusin*;*Pitavastatin","C11158;Unknown,C10106;C13334","2H_1"
43,439.2019,14607.0005,11637.6191,9471.5406,12152.4516,0,0,0,"Unknown,DBLINKS13810;Unknown","LMPR0102070018,Unknown;Unknown","Unknown,Unknown;147511-69-1","C18H28O11-[M+NH4+]-2H-1-{m+0}(0.98239)(Niso-1);C25H23F1N1O4-[M+NH4+]-2H-1-{m+0}(0.96435)(Niso-1)","Unknown,Unknown;Unknown","Lamioside*,*Lamioside*;*Pitavastatin","C11645,C11645;C13334","2H_1"
44,439.3677,33299.7982,17688.675,12314.1492,16332.0676,30574.8725,0,29045.734,12984,"Unknown","30276-35-8","C27H48N2O1-[M+Na+]-{m+0}(0.95743)(Niso-1)","Unknown","CyclovirobuxineC","C10801","N"
45,441.2914,0,0,0,0,0,0,0,"Unknown;Unknown,47205455","LMST03020197;LMPR01070132,Unknown","Unknown;Unknown,53872-50-7","C27H43F1O1-[M+K+]-{m+0}(0.95963)(Niso-1);C30H42-[M+K+]-{m+0}(0.95015)(Niso-1)","Unknown;Unknown,Unknown","(5E,7E)-(3S)-6-fluoro-9,10-seco-5,7,10(19)-cholestatrien-3-ol*;*4,4'-Diaponeurosporene*,*4,4'-Diaponeurosporene","Unknown;Unknown,C16145","N"
46,441.2969,0,0,0,0,0,0,0,"Unknown;Unknown,17396218;Unknown;14180;Unknown;Unknown","LMST03020024;LMST03020056,Unknown;Unknown;Unknown;Unknown;Unknown","Unknown;Unknown,28553-12-0;Unknown;52340-48-413129-81-2;Unknown;Unknown","C26H39F3O2-[M+H+]-{m+0}(0.99999)(Niso-3);C26H42O4-[M+Na+]-{m+0}(0.99999)(Niso-3);C28H39O4-[M+H+]-2H-1-{m+0}(0.99998)(Niso-3);C25H35N3O1-[M+K+]-2H-9-{m+0}(0.99512)(Niso-2);C26H41O4-[M+Na+]-2H-1-{m+0}(0.96304)(Niso-1);C26H41O4-[M+Na+]-{m+0}(0.96301)(Niso-1)","Unknown;Unknown,Unknown;HMDB12558;Unknown;HMDB12515;HMDB12515","(5Z,7E)-(3S)-26,26,26-trifluoro-27-nor-9,10-seco-5,7,10(19)-cholestatriene-3,25-diol*;*(5Z,7E)-(1S,3R,24R)-22-oxa-9,10-seco-5,7,10(19)-cholestatriene-1,3,24-triol*,*Diisononylphthalate*;*13'-carboxy-gama-tocotrienol*;*Undecylprodigiosin*;*11'-Carboxy-alpha-chromanol*;*11'-Carboxy-alpha-chromanol","Unknown;Unknown,C15221;Unknown;C12023;Unknown;Unknown","2H_1"
47,441.2991,253764.1161,0,0,0,0,0,10766.3576,"14180;Unknown;Unknown;Unknown;17396218,Unknown;Unknown;Unknown;Unknown","Unknown;LMSP02050000;LMST01120002;LMST03020024;Unknown,LMST03020056;Unknown;Unknown;Unknown","52340-48-413129-81-2;Unknown;Unknown;Unknown;28553-12-0,Unknown;Unknown;Unknown;Unknown","C25H35N3O1-[M+K+]-2H-9-{m+0}(0.98559)(Niso-2);C19H37N1O6P1-[M+Na+]-2H-12-{m+0}(0.98253)(Niso-3);C23H34O6-[M+Na+]-2H-12-{m+0}(0.97405)(Niso-3);C26H39F3O2-[M+H+]-{m+0}(0.96645)(Niso-3);C26H42O4-[M+Na+]-{m+0}(0.9662)(Niso-3);C26H41O4-[M+Na+]-{m+0}(0.96301)(Niso-1);C28H39O4-[M+H+]-2H-1-{m+0}(0.96042)(Niso-3);C28H39O4-[M+H+]-{m+0}(0.95717)(Niso-1)","Unknown;Unknown;Unknown;Unknown;Unknown,Unknown;HMDB12515;HMDB12558;HMDB12558","Undecylprodigiosin*;*N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,12beta,14,16beta-tetrahydroxy-5beta-card-20(22)-enolide*;*(5Z,7E)-(3S)-26,26,26-trifluoro-27-nor-9,10-seco-5,7,10(19)-cholestatriene-3,25-diol*;*Diisononylphthalate*,*(5Z,7E)-(1S,3R,24R)-22-oxa-9,10-seco-5,7,10(19)-cholestatriene-1,3,24-triol*;*11'-Carboxy-alpha-chromanol*;*13'-carboxy-gama-tocotrienol*;*13'-carboxy-gama-tocotrienol","C12023;C02960;Unknown;Unknown;C15221,Unknown;Unknown;Unknown;Unknown","2H_9"
48,441.307,0,0,0,0,0,0,0,"Unknown;Unknown;6439312;9026","LMFA08020078;LMFA08020004;Unknown;Unknown","Unknown;Unknown;169523-06-2;2751-68-0","C20H41N1O4S1-[M+K+]-2H-11-{m+0}(0.98192)(Niso-1);C23H37N1O4-[M+K+]-2H-11-{m+0}(0.97626)(Niso-1);C23H37N1O3S1-[M+Na+]-2H-11-{m+0}(0.97271)(Niso-1);C23H29N3O2S1-[M+NH4+]-2H-12-{m+0}(0.97022)(Niso-1)","Unknown;Unknown;HMDB11678;Unknown","N-octadecanoyl-taurine*;*N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-D-serine*;*Geranylgeranylcysteine*;*Acetophenazine","Unknown;Unknown;Unknown;C06807","2H_11"
49,442.3023,21636.8477,0,0,0,0,0,1226.53,"Unknown;Unknown;Unknown,17396218;14180;Unknown","LMST03020024;Unknown;LMST03020056,Unknown;Unknown;LMPR01070089","Unknown;Unknown;Unknown,28553-12-0;52340-48-413129-81-2;Unknown","C26H39F3O2-[M+H+]-2H-1-{m+0}(0.99923)(Niso-2);C26H41O4-[M+Na+]-2H-2-{m+0}(0.99909)(Niso-2);C26H42O4-[M+Na+]-2H-1-{m+0}(0.99908)(Niso-2);C25H35N3O1-[M+K+]-2H-10-{m+0}(0.9951)(Niso-2);C42H63-[M+K+]-{m+0}(0.9021)(Niso-1)","Unknown;HMDB12515;Unknown,Unknown;Unknown;Unknown","(5Z,7E)-(3S)-26,26,26-trifluoro-27-nor-9,10-seco-5,7,10(19)-cholestatriene-3,25-diol*;*11'-Carboxy-alpha-chromanol*;*(5Z,7E)-(1S,3R,24R)-22-oxa-9,10-seco-5,7,10(19)-cholestatriene-1,3,24-triol*,*Diisononylphthalate*;*Undecylprodigiosin*;*gamma-Carotene/ beta,psi-Carotene","Unknown;Unknown;Unknown,C15221;C12023;Unknown","2H_1"
