"ID","m/z","Yellow_10.csv","Yellow_16.csv","Yellow_17.csv","Yellow_18.csv","Yellow_19.csv","Yellow_1.csv","Yellow_20.csv","Presence Percentage","PubChem","LM_ID","CAS_inf","MetSign_ID","hm_ID","Name_ID","Keg_ID","label_information"
112,615.4985,15053.4358,4817.251,6968.8181,6462.538,8237.787,5819.0977,5326.8152,100,"Unknown,Unknown;Unknown,Unknown;Unknown,Unknown","LMGL02010071,Unknown;LMGL02010086,Unknown;LMGL02010021,Unknown","Unknown,Unknown;Unknown,Unknown;Unknown,Unknown","C39H66O5-[M+H+]-{m+0}(0.97857)(Niso-2);C39H64O5-[M+H+]-2H-2-{m+0}(0.97836)(Niso-2);C37H68O5-[M+Na+]-{m+0}(0.92424)(Niso-1)","Unknown,HMDB07032;Unknown,HMDB07762;Unknown,HMDB07022","1-(9Z,12Z-octadecadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol*,*DG(14:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)*;*1-(9Z-hexadecenoyl)-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol*,*DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0/0:0)*;*1,2-di-(9Z-heptadecenoyl)-sn-glycerol*,*DG(14:0/20:2(11Z,14Z)/0:0)","Unknown,Unknown;Unknown,Unknown;Unknown,Unknown","2H_2"
114,616.5668,994.174,1299.426,72451.5484,1634.2717,4743.9138,4318.0185,633.3676,100,"5289390,Unknown","Unknown,LMSP02010007","104404-17-3,Unknown","C38H75N1O3-[M+Na+]-{m+0}(0.91808)(Niso-1)","HMDB04951,Unknown","Ceramide (d18:1/20:0)*,*N-(eicosanoyl)-sphing-4-enine","C00195,Unknown","N"
131,641.5154,10370.6282,11867.5836,10854.832,10232.2406,9872.4377,4044.0357,7455.245,100,"Unknown,Unknown","LMGL02010130,Unknown","Unknown,Unknown","C41H68O5-[M+H+]-{m+0}(0.97894)(Niso-2)","Unknown,HMDB07121","1-(9Z,12Z,15Z-octadecatrienoyl)-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol*,*DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Unknown,Unknown","N"
135,643.5303,1895.8097,8615.1577,8696.4663,11117.0589,1181.1045,6649.1153,1315.726,100,"Unknown,Unknown;Unknown,Unknown","Unknown,LMGL02010119;Unknown,LMGL02010049","Unknown,Unknown;Unknown,Unknown","C41H70O5-[M+H+]-{m+0}(0.99633)(Niso-2);C39H72O5-[M+Na+]-{m+0}(0.91575)(Niso-1)","HMDB07119,Unknown;HMDB07030,Unknown","DG(16:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)*,*1-(9Z,12Z,15Z-octadecatrienoyl)-2-(11Z,14Z-eicosadienoyl)-sn-glycerol*;*DG(14:0/22:2(13Z,16Z)/0:0)*,*1,2-di-(9Z-octadecenoyl)-sn-glycerol","Unknown,Unknown;Unknown,Unknown","N"
155,685.3957,14833.7968,14756.7055,11694.5491,12591.1753,26773.2741,361116.6747,9871.8074,100,"Unknown","LMST01100006","Unknown","C37H58O10-[M+Na+]-{m+0}(0.99302)(Niso-2)","Unknown","15alpha,25-dihydroxy-16beta,23R:16alpha,24S-diepoxy-9beta,19-cyclolanostan-3beta-yl 2-O-acetyl-alpha-L-arabinopyranoside","Unknown","N"
156,685.4195,19866.337,18736.6227,17427.5462,25679.5197,15130.4334,8224.2754,13940.3168,100,"Unknown","LMGP10010019","Unknown","C35H67O8P1-[M+K+]-{m+0}(0.99553)(Niso-2)","Unknown","1-tetradecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate","Unknown","N"
160,686.399,4296.1688,4828.5763,3710.278,4088.8585,7199.4535,50321.644,3022.9882,100,"Unknown","LMST01100006","Unknown","C37H58O10-[M+Na+]-2H-1-{m+0}(0.92548)(Niso-1)","Unknown","15alpha,25-dihydroxy-16beta,23R:16alpha,24S-diepoxy-9beta,19-cyclolanostan-3beta-yl 2-O-acetyl-alpha-L-arabinopyranoside","Unknown","2H_1"
161,686.4171,1708.1478,1123.6084,1288.7945,2852.1299,826.1967,1183.2688,975.4545,100,"Unknown","Unknown","Unknown","C34H66N1O8P1-[M+K+]-{m+0}(0.93517)(Niso-1)","HMDB08856","PE(14:1(9Z)/15:0)","C00350","N"
218,756.5562,6834.1444,3848.9052,5223.691,4958.3868,5733.4522,2243.573,3786.588,100,"Unknown,Unknown;Unknown;Unknown","Unknown,LMGP01010546;LMGP10010039;LMGP00000050","Unknown,Unknown;Unknown;Unknown","C42H78N1O8P1-[M+H+]-{m+0}(0.99248)(Niso-2);C43H73O8P1-[M+H+]-2H-7-{m+0}(0.99161)(Niso-2);C39H77O8P1S1-[M+NH4+]-2H-2-{m+0}(0.99148)(Niso-2)","HMDB07881,Unknown;Unknown;Unknown","PC(14:0/20:3(5Z,8Z,11Z))*,*1-pentadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphate*;*1,2-dihexadecanoyl-sn-glycero-3-phosphosulfocholine","C00157,Unknown;Unknown;Unknown","2H_7"
222,757.5597,2425.1525,1113.798,912.1514,1438.6868,1453.5915,1214.1136,1120.8239,100,"Unknown;Unknown,Unknown;Unknown,Unknown;Unknown","LMGP00000050;Unknown,LMGP01010506;Unknown,LMGP01010546;LMGP10010039","Unknown;Unknown,Unknown;Unknown,Unknown;Unknown","C39H77O8P1S1-[M+NH4+]-2H-3-{m+0}(0.9177)(Niso-1);C42H76N1O8P1-[M+H+]-2H-3-{m+0}(0.90126)(Niso-1);C42H78N1O8P1-[M+H+]-2H-1-{m+0}(0.90107)(Niso-1);C43H73O8P1-[M+H+]-2H-8-{m+0}(0.89859)(Niso-1)","Unknown;HMDB07883,Unknown;HMDB07881,Unknown;Unknown","1,2-dihexadecanoyl-sn-glycero-3-phosphosulfocholine*;*PC(14:0/20:4(5Z,8Z,11Z,14Z))*,*1-tetradecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine*;*PC(14:0/20:3(5Z,8Z,11Z))*,*1-pentadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphate","Unknown;C00157,Unknown;C00157,Unknown;Unknown","2H_3"
230,758.5749,14407.2685,26892.8192,28268.5818,28457.7428,168401.2602,3037.813,264144.4862,100,"Unknown,9056,Unknown;DBLINKS7425","LMPK04000013,Unknown,Unknown;Unknown","Unknown,83905-01-5,83905-01-5;Unknown","C38H72N2O12-[M+H+]-2H-9-{m+0}(0.99977)(Niso-3);C40H84N2O5P1S1-[M+Na+]-{m+0}(0.99167)(Niso-2)","Unknown,Unknown,HMDB01916;Unknown","Azithromycin*,*Azithromycin*,*Azythromycin*;*1-Hexadecylthio-2-hexadecanoylamino-1,2-dideoxy-sn-glycero-3-","C06838,C06838,C06838;C04873","2H_9"
245,762.5102,5716.1936,6377.8733,6654.8671,8678.4166,6408.6673,1264.4719,2267.9589,100,"Unknown","Unknown","Unknown","C43H72N1O8P1-[M+H+]-{m+0}(0.95932)(Niso-2)","HMDB08979","PE(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00350","N"
273,778.5399,11844.0839,9492.2839,9340.8249,11096.1015,10701.7884,1266.4921,3432.2235,100,"Unknown;Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","LMGL05010019;LMGP02040016;Unknown,LMGP01010546;LMGP04040002;Unknown,LMGP01010512","Unknown;Unknown;Unknown,Unknown;Unknown;Unknown,Unknown","C43H70O10-[M+Na+]-2H-9-{m+0}(0.988)(Niso-6);C43H74N1O6P1-[M+K+]-2H-8-{m+0}(0.98188)(Niso-3);C42H78N1O8P1-[M+Na+]-{m+0}(0.90107)(Niso-1);C44H73O8P1-[M+NH4+]-{m+0}(0.89349)(Niso-1);C44H76N1O8P1-[M+H+]-{m+0}(0.67734)(Niso-3)","Unknown;Unknown;HMDB07881,Unknown;Unknown;HMDB07892,Unknown","1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol*;*1-(6-[3]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*PC(14:0/20:3(5Z,8Z,11Z))*,*1-pentadecanoyl-2-(9Z,12Z,15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine*;*1-(6-[5]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycero-3-phospho-(1'-sn-glycerol)*;*PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-tetradecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine","Unknown;Unknown;C00157,Unknown;Unknown;C00157,Unknown","2H_9"
276,780.5315,7042.027,7656.2088,4431.5201,5830.2451,10860.3822,770.3935,5134.5939,100,"Unknown,Unknown;24779578,Unknown;Unknown","Unknown,LMGP01020041;Unknown,LMSP06020002;LMGP02040014","Unknown,Unknown;862509-48-6,Unknown;Unknown","C42H80N1O7P1-[M+K+]-{m+0}(0.97663)(Niso-2);C40H77N1O11S1-[M+H+]-{m+0}(0.91378)(Niso-1);C45H76N1O6P1-[M+Na+]-{m+0}(0.8865)(Niso-1)","HMDB08029,Unknown;HMDB12313,Unknown;Unknown","PC(16:1(9Z)/P-18:1(11Z))*,*1-hexadecyl-2-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*;*3-O-Sulfogalactosylceramide (d18:1/16:0)*,*(3'-sulfo)Galbeta-Cer(d18:1/16:0)*;*1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","C00157,Unknown;C06125,C06125;Unknown","N"
278,780.5416,3199.2058,3637.3871,2492.4998,2195.5179,5081.3694,1040.9693,3152.5076,100,"Unknown","LMSP06030001","Unknown","C42H79N1O9-[M+K+]-{m+0}(0.90117)(Niso-1)","Unknown","GlcAbeta-Cer(d18:1/18:0)","Unknown","N"
280,780.5554,1118110.356,1079684.745,810027.2027,1005335.636,1944672.555,107058.3472,797646.8677,100,"Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown","LMGL05010019;Unknown,LMGP01010632;LMGP02040016;Unknown,LMGP01010585;LMGL05010019","Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown","C43H70O10-[M+Na+]-2H-11-{m+0}(1)(Niso-5);C44H78N1O8P1-[M+H+]-{m+0}(0.99971)(Niso-3);C43H74N1O6P1-[M+K+]-2H-10-{m+0}(0.90797)(Niso-4);C42H80N1O8P1-[M+Na+]-{m+0}(0.90246)(Niso-4);C43H70O10-[M+Na+]-2H-11-{m+0}(0.46748)(Niso-5)","Unknown;HMDB07890,Unknown;Unknown;HMDB07880,Unknown;Unknown","1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol*;*PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))*,*1-hexadecanoyl-2-(5E,8E,11E,14E,17E-eicosapentaenoyl)-sn-glycero-3-phosphocholine*;*1-(6-[3]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*PC(14:0/20:2(11Z,14Z))*,*1-hexadecanoyl-2-(10E,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine*;*1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol","Unknown;C00157,Unknown;Unknown;C00157,Unknown;Unknown","2H_11"
286,781.5595,383445.9138,356411.9866,187611.2684,282630.6745,818443.0525,21508.411,288652.391,100,"Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown","LMGL05010019;LMGP01010585,Unknown;Unknown,LMGP01010632;LMGL05010019;Unknown,LMGP01010632;Unknown,LMGP01010512;Unknown,LMGP01010512;LMGP04040002;LMGP04040002;LMGP02040016;LMGP02040016;LMGP01010585,Unknown","Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown,Unknown;Unknown,Unknown;Unknown,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown","C43H70O10-[M+Na+]-2H-12-{m+0}(1)(Niso-4);C42H80N1O8P1-[M+Na+]-2H-1-{m+0}(1)(Niso-4);C44H78N1O8P1-[M+H+]-2H-1-{m+0}(1)(Niso-4);C43H70O10-[M+Na+]-2H-12-{m+0}(1)(Niso-4);C44H78N1O8P1-[M+H+]-2H-1-{m+0}(1)(Niso-4);C44H76N1O8P1-[M+H+]-2H-3-{m+0}(0.99388)(Niso-2);C44H76N1O8P1-[M+H+]-2H-3-{m+0}(0.99388)(Niso-2);C44H73O8P1-[M+NH4+]-2H-3-{m+0}(0.99388)(Niso-2);C44H73O8P1-[M+NH4+]-2H-3-{m+0}(0.99388)(Niso-2);C43H74N1O6P1-[M+K+]-2H-11-{m+0}(0.98757)(Niso-2);C43H74N1O6P1-[M+K+]-2H-11-{m+0}(0.98757)(Niso-2);C42H80N1O8P1-[M+Na+]-2H-1-{m+0}(0.91501)(Niso-4)","Unknown;Unknown,HMDB07880;HMDB07890,Unknown;Unknown;HMDB07890,Unknown;HMDB07892,Unknown;HMDB07892,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,HMDB07880","1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol*;*1-hexadecanoyl-2-(10E,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine*,*PC(14:0/20:2(11Z,14Z))*;*PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))*,*1-hexadecanoyl-2-(5E,8E,11E,14E,17E-eicosapentaenoyl)-sn-glycero-3-phosphocholine*;*1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol*;*PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))*,*1-hexadecanoyl-2-(5E,8E,11E,14E,17E-eicosapentaenoyl)-sn-glycero-3-phosphocholine*;*PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-tetradecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine*;*PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))*,*1-tetradecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine*;*1-(6-[5]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycero-3-phospho-(1'-sn-glycerol)*;*1-(6-[5]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycero-3-phospho-(1'-sn-glycerol)*;*1-(6-[3]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*1-(6-[3]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine*;*1-hexadecanoyl-2-(10E,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine*,*PC(14:0/20:2(11Z,14Z))","Unknown;Unknown,C00157;C00157,Unknown;Unknown;C00157,Unknown;C00157,Unknown;C00157,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,C00157","2H_12"
